Team_Id,Team_Name,KenPom,HSTeam,X,X.1
1101,Abilene Chr,Abilene Christian,Abilene Christian,NA,
1102,Air Force,Air Force,Air Force,NA,
1103,Akron,Akron,Akron,NA,
1104,Alabama,Alabama,Alabama,NA,
1104,Alabama,Alabama,University of Alabama,NA,
1105,Alabama A&M,Alabama A&M,Alabama A&M,NA,
1106,Alabama St,Alabama St.,Alabama St.,NA,
1107,Albany NY,Albany,Albany,NA,
1108,Alcorn St,Alcorn St.,Alcorn St.,NA,
1109,Alliant Intl,Alliant Intl,Alliant Intl,NA,
1110,American Univ,American,American,NA,
1111,Appalachian St,Appalachian St.,Appalachian St.,NA,
1112,Arizona,Arizona,Arizona,NA,
1112,Arizona,Arizona,University of Arizona,NA,
1113,Arizona St,Arizona St.,Arizona State University,NA,
1113,Arizona St,Arizona St,Arizona State,NA,
1114,Ark Little Rock,Arkansas Little Rock,Arkansas Little Rock,NA,
1115,Ark Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,NA,
1116,Arkansas,Arkansas,Arkansas,NA,
1116,Arkansas,Arkansas,University of Arkansas,NA,
1117,Arkansas St,Arkansas St.,Arkansas State,NA,
1118,Armstrong St,Armstrong St,Armstrong St,NA,
1119,Army,Army,Army,NA,
1120,Auburn,Auburn,Auburn,NA,
1120,Auburn,Auburn,Auburn University,NA,
1121,Augusta,Augusta,Augusta,NA,
1122,Austin Peay,Austin Peay,Austin Peay,NA,
1123,Ball St,Ball St.,Ball St.,NA,
1124,Baylor,Baylor,Baylor,NA,
1124,Baylor,Baylor,Baylor University,NA,
1125,Belmont,Belmont,Belmont,NA,
1126,Bethune-Cookman,Bethune Cookman,Bethune Cookman,NA,
1127,Binghamton,Binghamton,Binghamton,NA,
1128,Birmingham So,Birmingham Southern,Birmingham Southern,NA,
1129,Boise St,Boise St.,Boise St.,NA,
1130,Boston College,Boston College,Boston College,NA,
1131,Boston Univ,Boston University,Boston University,NA,
1132,Bowling Green,Bowling Green,Bowling Green,NA,
1133,Bradley,Bradley,Bradley,NA,
1134,Brooklyn,Brooklyn,Brooklyn,NA,
1135,Brown,Brown,Brown,NA,
1136,Bryant,Bryant,Bryant,NA,
1137,Bucknell,Bucknell,Bucknell,NA,
1138,Buffalo,Buffalo,Buffalo,NA,
1139,Butler,Butler,Butler,NA,
1140,BYU,BYU,Brigham Young,NA,
1141,C Michigan,Central Michigan,Central Michigan,NA,
1142,Cal Poly SLO,Cal Poly,Cal Poly,NA,
1143,California,California,California,NA,
1143,California,California,University of California,NA,
1144,Campbell,Campbell,Campbell,NA,
1145,Canisius,Canisius,Canisius,NA,
1146,Cent Arkansas,Central Arkansas,Central Arkansas,NA,
1147,Centenary,Centenary,Centenary,NA,
1148,Central Conn,Central Connecticut,Central Connecticut,NA,
1149,Charleston So,Charleston Southern,Charleston Southern,NA,
1150,Charlotte,Charlotte,Charlotte,NA,
1150,Charlotte,Charlotte,University of North Carolina at Charlotte,NA,
1151,Chattanooga,Chattanooga,Chattanooga,NA,
1152,Chicago St,Chicago St.,Chicago St.,NA,
1153,Cincinnati,Cincinnati,Cincinnati,NA,
1153,Cincinnati,Cincinnati,University of Cincinnati,NA,
1154,Citadel,The Citadel,The Citadel,NA,
1155,Clemson,Clemson,Clemson,NA,
1156,Cleveland St,Cleveland St.,Cleveland State,NA,
1157,Coastal Car,Coastal Carolina,Coastal Carolina,NA,
1158,Col Charleston,College of Charleston,College of Charleston,NA,
1159,Colgate,Colgate,Colgate,NA,
1160,Colorado,Colorado,Colorado,NA,
1160,Colorado,Colorado,University of Colorado,NA,
1161,Colorado St,Colorado St.,Colorado State,NA,
1162,Columbia,Columbia,Columbia,NA,
1163,Connecticut,Connecticut,Connecticut,NA,
1163,Connecticut,Connecticut,University of Connecticut,NA,
1164,Coppin St,Coppin St.,Coppin St.,NA,
1165,Cornell,Cornell,Cornell,NA,
1166,Creighton,Creighton,Creighton,NA,
1167,CS Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,NA,
1168,CS Fullerton,Cal St. Fullerton,Cal State Fullerton,NA,
1169,CS Northridge,Cal St. Northridge,Cal St. Northridge,NA,
1170,CS Sacramento,Sacramento St.,Sacramento St.,NA,
1171,Dartmouth,Dartmouth,Dartmouth,NA,
1172,Davidson,Davidson,Davidson,NA,
1173,Dayton,Dayton,Dayton,NA,
1173,Dayton,Dayton,University of Dayton,NA,
1174,Delaware,Delaware,Delaware,NA,
1175,Delaware St,Delaware St.,Delaware State,NA,
1176,Denver,Denver,Denver,NA,
1177,DePaul,DePaul,DePaul,NA,
1177,DePaul,DePaul,DePaul University,NA,
1178,Detroit,Detroit,Detroit Mercy,NA,
1178,Detroit,Detroit,University of Detroit Mercy,NA,
1179,Drake,Drake,Drake,NA,
1180,Drexel,Drexel,Drexel,NA,
1181,Duke,Duke,Duke,NA,
1181,Duke,Duke,Duke University,NA,
1182,Duquesne,Duquesne,Duquesne,NA,
1183,E Illinois,Eastern Illinois,Eastern Illinois,NA,
1184,E Kentucky,Eastern Kentucky,Eastern Kentucky,NA,
1185,E Michigan,Eastern Michigan,Eastern Michigan,NA,
1186,E Washington,Eastern Washington,Eastern Washington,NA,
1187,East Carolina,East Carolina,East Carolina,NA,
1188,Edwardsville,SIU Edwardsville,SIU Edwardsville,NA,
1189,Elon,Elon,Elon,NA,
1190,ETSU,East Tennessee St.,East Tennessee St.,NA,
1191,Evansville,Evansville,Evansville,NA,
1192,F Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,NA,
1193,Fairfield,Fairfield,Fairfield,NA,
1194,FL Atlantic,Florida Atlantic,Florida Atlantic,NA,
1195,FL Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,NA,
1196,Florida,Florida,Florida,NA,
1196,Florida,Florida,University of Florida,NA,
1197,Florida A&M,Florida A&M,Florida A&M,NA,
1198,Florida Intl,FIU,Florida International,NA,
1199,Florida St,Florida St.,Florida State University,NA,
1199,Florida St,Florida St,Florida State,NA,
1200,Fordham,Fordham,Fordham,NA,
1201,Fresno St,Fresno St.,Fresno State,NA,
1201,Fresno St,Fresno St,"California State University, Fresno",NA,
1202,Furman,Furman,Furman,NA,
1203,G Washington,George Washington,George Washington,NA,
1204,Ga Southern,Georgia Southern,Georgia Southern,NA,
1205,Gardner Webb,Gardner Webb,Gardner Webb,NA,
1206,George Mason,George Mason,George Mason,NA,
1207,Georgetown,Georgetown,Georgetown,NA,
1207,Georgetown,Georgetown,Georgetown University,NA,
1208,Georgia,Georgia,Georgia,NA,
1208,Georgia,Georgia,University of Georgia,NA,
1209,Georgia St,Georgia St.,Georgia State,NA,
1210,Georgia Tech,Georgia Tech,Georgia Tech,NA,
